vehicle_id,driver_id,vin,make,model,model_year
V049,D014,D7Q1DDPUSDDTV25AO,Hyundai,Model 3,2015
V050,D074,SYGJJFGJK2N7ZRWQE,Toyota,RAV4,2018
V051,D080,N5PP3XVKVZRGOL0W8,Hyundai,Accord,2018
V052,D049,K2N7H9G1A07H23C42,Chevrolet,CR-V,2012
V053,D039,IXZ2C9ROS7YT2M6TW,Toyota,Model 3,2015
V054,D046,FWUXX8L2DDH0UYHNQ,Chevrolet,Malibu,2012
V055,D045,9RK7D30MM2SMDZQCB,Chevrolet,Model 3,2008
V056,D044,XYF9IGFU8IOGXPBWH,BMW,RAV4,2020
V057,D001,ZH13CD5GLQJ5SXVWV,Ford,F-150,2022
V058,D080,GY27VYLIENFNVUPRT,Chevrolet,Camry,2013
V059,D063,KG4W58RHNUXORZPGU,Hyundai,Accord,2017
V060,D005,JTGQ01TEE13N3BZT9,Toyota,Accord,2017
V061,D005,QM3P91I3VMZWFFHHC,Ford,Malibu,2016
V062,D077,TLZKJ49YD82795E5I,Chevrolet,F-150,2015
V063,D051,RUJOQW5DSK7N8LA10,Chevrolet,CR-V,2019
V064,D009,2O83RLKTE4261BW4A,Hyundai,Camry,2022
V065,D059,A8HYEXF7JXJN6FOKZ,Honda,RAV4,2010
V066,D013,AREIYAZ39PECN0DL5,Honda,RAV4,2012
V067,D019,CUVFMH07WPH6FE0MP,Hyundai,Camry,2015
V068,D036,XIVZK7A45HVGOX22I,Tesla,Model 3,2015
V069,D064,WC5AMLN4PTGQ9CVAH,Toyota,RAV4,2024
V070,D037,WSOZCTWJLSH3TOW4Y,Toyota,Civic,2021
V071,D031,CDPQVL00EZZF8S2ZG,Honda,Civic,2011
V072,D004,MPSJ9WRSB4GF16YE0,Toyota,Model S,2008
V073,D032,BN7G8B2ZXII6L3UEY,Toyota,Camry,2015
V074,D067,98CQK4LTAHUKWQVR1,Honda,Malibu,2015
V075,D020,AOIM458AX40DTIRC9,Chevrolet,Civic,2010
V076,D006,76SZN9DDE3CUP8IJL,Hyundai,RAV4,2018
V077,D041,QI7E1DDQLEM1QQ4D3,Ford,Model S,2014
V078,D042,FZ8OBK3G84UTDD2EC,Hyundai,Accord,2012
V079,D026,3NWXUJ3AC6PE63LBQ,Honda,RAV4,2020
V080,D064,BYGHGK5BWIKOTCKEH,Hyundai,Malibu,2015
V081,D070,292MTR6SNGLH62C9T,Hyundai,Accord,2013
V082,D013,IIT2018U9N79GIL0M,BMW,Model S,2019
V083,D073,UUG95RLRDIHSA7HEZ,Hyundai,F-150,2009
V084,D003,FZFDSNCZXVML90PXR,Ford,Camry,2019
V085,D029,X3N0KGAZU41UGL3WX,Toyota,CR-V,2012
V086,D043,0I9G5DZX5QJICJDAN,Chevrolet,RAV4,2013
V087,D053,RNTDR5XYFC4KL8CGN,Chevrolet,Model 3,2010
V088,D044,VWRB7F6FDHGZZ0JKI,Toyota,RAV4,2023
V089,D020,BAD3WRDHW9RE2Q6JX,Tesla,Camry,2019
V090,D049,NQJQIJC1YDMT8VT43,Tesla,Malibu,2023
V091,D074,5RC6ZS62YWE1G983E,Tesla,Model 3,2021
V092,D026,9W4J66CNOLJQ52WSP,Tesla,Camry,2012
V093,D073,V177UDKTMONRVBJFV,Chevrolet,RAV4,2009
V094,D051,6LI076A3KKRZD5E9P,Hyundai,F-150,2016
V095,D054,VDP6ORSNC2CZO2SUG,Hyundai,Accord,2009
V096,D032,BBMHNQO7YIRQ8RTM4,Ford,Model 3,2017
V097,D004,NFU84XYJOA21A6XVA,Ford,Civic,2016
V098,D055,64QHKSWVA984UVKYR,Ford,Civic,2018
V099,D036,JZ6KF1622VXYZX9JP,Tesla,Model S,2014
V100,D044,0IT26YS445GDEJ31G,Chevrolet,F-150,2010
